arrangement,prey_speed,pred_speed,mean,std,count
uniform,1.4,0.2,-43.0,11.541849319510533,15
uniform,1.4,0.4,-73.0,8.566963122533979,15
uniform,1.4,0.6,-81.5,7.488085774844499,15
uniform,1.4,0.8,-85.66666666666667,8.684276980075351,15
uniform,1.4,1.0,-89.5,8.823669466675575,15
uniform,1.4,1.2,-92.16666666666667,3.3894092756843683,15
uniform,1.4,1.4,-90.16666666666667,4.16904693916396,15
patchy,0.2,0.2,-39.0,11.409582438834972,15
patchy,0.2,0.4,-25.0,22.200386097028648,15
patchy,0.2,0.6,-0.8333333333333334,18.961113087680523,15
patchy,0.2,0.8,13.833333333333334,7.062644857342918,15
patchy,0.2,1.0,8.0,6.065122775815365,15
patchy,0.2,1.2,6.0,4.982110854991946,15
patchy,0.2,1.4,5.833333333333333,4.39832219093123,15
patchy,0.4,0.2,-39.666666666666664,11.644536834723745,15
patchy,0.4,0.4,-72.16666666666667,10.97345281425435,15
patchy,0.4,0.6,-47.666666666666664,23.077251218668216,15
patchy,0.4,0.8,-19.0,25.59645622793459,15
patchy,0.4,1.0,-14.833333333333334,20.560595692685933,15
patchy,0.4,1.2,4.5,7.083683464735803,15
patchy,0.4,1.4,5.333333333333333,4.897764310182273,15
patchy,0.6,0.2,-38.666666666666664,11.872336794093274,15
patchy,0.6,0.4,-73.16666666666667,10.371090772407877,15
patchy,0.6,0.6,-80.33333333333333,7.187952884282608,15
patchy,0.6,0.8,-54.666666666666664,22.91028049546649,15
patchy,0.6,1.0,-33.333333333333336,23.119770966075976,15
patchy,0.6,1.2,-9.166666666666666,20.60830854176007,15
patchy,0.6,1.4,-4.166666666666667,19.5864992375093,15
patchy,0.8,0.2,-39.333333333333336,11.93234898839924,15
patchy,0.8,0.4,-70.83333333333333,17.669249586566515,15
patchy,0.8,0.6,-82.66666666666667,7.163066648407218,15
patchy,0.8,0.8,-80.5,6.2105900340811875,15
patchy,0.8,1.0,-51.333333333333336,21.771267653448554,15
patchy,0.8,1.2,-40.833333333333336,26.65364265286579,15
patchy,0.8,1.4,-23.0,30.475399915341555,15
patchy,1.0,0.2,-39.5,11.771636613972952,15
patchy,1.0,0.4,-73.33333333333333,10.59256253001987,15
patchy,1.0,0.6,-82.5,7.007648882267352,15
patchy,1.0,0.8,-79.83333333333333,13.108975478474209,15
patchy,1.0,1.0,-87.0,7.511895328648518,15
patchy,1.0,1.2,-57.166666666666664,17.547554435495183,15
patchy,1.0,1.4,-39.666666666666664,27.48159557300295,15
patchy,1.2,0.2,-39.666666666666664,11.644536834723745,15
patchy,1.2,0.4,-70.66666666666667,14.125289714685836,15
patchy,1.2,0.6,-82.0,6.956497476665765,15
patchy,1.2,0.8,-82.5,6.681531047810608,15
patchy,1.2,1.0,-82.33333333333333,14.030154599833821,15
patchy,1.2,1.2,-86.83333333333333,5.12928102267012,15
patchy,1.2,1.4,-68.0,15.183402592492708,15
patchy,1.4,0.2,-39.333333333333336,11.552159146773427,15
patchy,1.4,0.4,-71.66666666666667,12.198750911856663,15
patchy,1.4,0.6,-83.0,6.627863262664027,15
patchy,1.4,0.8,-83.0,5.840132092439593,15
patchy,1.4,1.0,-87.33333333333333,11.932348988399243,15
patchy,1.4,1.2,-82.66666666666667,14.030154599833818,15
patchy,1.4,1.4,-84.5,6.761234037828133,15
mixed,0.2,0.2,-43.5,6.930780207575068,15
mixed,0.2,0.4,-21.333333333333332,22.377975992564867,15
mixed,0.2,0.6,-3.8333333333333335,22.91028049546649,15
mixed,0.2,0.8,4.333333333333333,8.423323628614833,15
mixed,0.2,1.0,5.833333333333333,3.7400662077154783,15
mixed,0.2,1.2,5.666666666666667,3.949080664564614,15
mixed,0.2,1.4,4.333333333333333,4.16904693916396,15
mixed,0.4,0.2,-44.166666666666664,7.4801324154309565,15
mixed,0.4,0.4,-68.83333333333333,8.60163328898037,15
mixed,0.4,0.6,-49.166666666666664,17.51699854698967,15
mixed,0.4,0.8,-26.833333333333332,22.189658681037713,15
mixed,0.4,1.0,-14.666666666666666,20.590971206771556,15
mixed,0.4,1.2,3.1666666666666665,8.735532256796022,15
mixed,0.4,1.4,3.8333333333333335,3.1148645158948653,15
mixed,0.6,0.2,-43.333333333333336,7.886848607167565,15
mixed,0.6,0.4,-69.5,9.023778112773575,15
mixed,0.6,0.6,-78.0,7.083683464735802,15
mixed,0.6,0.8,-62.5,13.983408536037066,15
mixed,0.6,1.0,-26.166666666666668,27.497835412645706,15
mixed,0.6,1.2,-23.166666666666668,23.173774175213875,15
