strategy,cover,clusters,survival,cover_sd,usable_cover,n
flee,medium,30,70.38888888888889,0.07334571221444088,0.077277970011534,45
flee,medium,40,75.38888888888889,0.08403473094587725,0.0929813319663377,45
flee,medium,50,71.16666666666667,0.09433327008582142,0.10865051903114183,45
flee,medium,60,67.5,0.10359438690094422,0.12294416677346316,45
flee,high,0,87.77777777777777,0.015011542149089459,1.0,45
flee,high,10,89.55555555555556,0.02870506581700129,1.0,45
flee,high,20,89.5,0.035769819874180445,1.0,45
flee,high,30,87.33333333333333,0.041737562939859016,1.0,45
flee,high,40,88.5,0.0469469145963984,1.0,45
flee,high,50,85.83333333333333,0.05198804309468224,1.0,45
flee,high,60,86.55555555555556,0.05651840296796344,1.0,45
adaptive-dmas,low,0,33.94444444444444,0.020944156246583637,0.0,45
adaptive-dmas,low,10,30.72222222222222,0.06260336019014,0.006322354649920942,45
adaptive-dmas,low,20,26.444444444444443,0.08376637173199228,0.012260241787346712,45
adaptive-dmas,low,30,26.444444444444443,0.10150238554392364,0.01892434533726341,45
adaptive-dmas,low,40,26.833333333333332,0.11277132875741931,0.022922807467213435,45
adaptive-dmas,low,50,25.38888888888889,0.12150951531475547,0.02703233798966207,45
adaptive-dmas,low,60,27.944444444444443,0.12697503654381068,0.02933914306463323,45
adaptive-dmas,medium,0,23.833333333333332,0.01827370507806443,0.0005211670724934678,45
adaptive-dmas,medium,10,20.166666666666668,0.046629738929957545,0.032320902217095944,45
adaptive-dmas,medium,20,21.88888888888889,0.06114554396434254,0.05773847665427822,45
adaptive-dmas,medium,30,20.61111111111111,0.07334571221444089,0.077277970011534,45
adaptive-dmas,medium,40,21.333333333333332,0.08403473094587725,0.0929813319663377,45
adaptive-dmas,medium,50,21.11111111111111,0.09433327008582142,0.10865051903114183,45
adaptive-dmas,medium,60,21.77777777777778,0.1035943869009442,0.12294416677346316,45
adaptive-dmas,high,0,24.055555555555557,0.01501154214908945,1.0,45
adaptive-dmas,high,10,26.22222222222222,0.028705065817001288,1.0,45
adaptive-dmas,high,20,26.5,0.03576981987418043,1.0,45
adaptive-dmas,high,30,24.055555555555557,0.041737562939859,1.0,45
adaptive-dmas,high,40,24.77777777777778,0.04694691459639839,1.0,45
adaptive-dmas,high,50,25.72222222222222,0.05198804309468222,1.0,45
adaptive-dmas,high,60,25.0,0.05651840296796342,1.0,45
